Компания,Сайт,Локация,Специализация,Языки сайта,Известные проекты,Сильные стороны,Слабые стороны,Контакт
El Equipo Creativo,elequipocreativo.com,"Барселона, Испания","Рестораны, отели, бренд-пространства","EN, ES","Disfrutar (#2 в мире), Blue Wave Bar (лучший бар мира), Kimpton Vividora Hotel, Pakta","Топ-награды мира, работа с Michelin-ресторанами, сильное портфолио, международные проекты","Премиум-сегмент (недоступен для малого бизнеса), узкая специализация на luxury",Форма на сайте
The Room Studio,theroom-studio.com,"Барселона + Майами","Рестораны, отели, офисы, жилье","EN, ES, CAT","200+ проектов, награды London Design Awards, SBID Awards","Офисы в Европе и США, 200+ проектов, широкий спектр услуг, smart home интеграция","Меньше фокуса на HoReCa, размытое позиционирование","+34 932 002 830, info@theroom-studio.com"
AvroKO,"avroko.com","Нью-Йорк, Лондон, Сан-Франциско, Бангкок, Майами","Отели, рестораны, бары, клубы","EN","Hospitality Design Platinum Circle, HOST on Howard gallery","Глобальное присутствие, экосистема компаний (брендинг, мебель, консалтинг), 20+ лет опыта","Ориентация на крупные сети, высокие цены, нет европейского фокуса",hello@avroko.com
Dennis Studio,dennis.studio,"Барселона + Лондон","Брендинг и дизайн для HoReCa","EN, ES","Alení (Hotel Brummell), Chandigarh Café, Les Filles Café, Bar Bauma","Сильный брендинг + дизайн, гибкость, работа с boutique-проектами, современный стиль","Маленькая команда, меньше архитектурной экспертизы",hello@dennis.studio
Faber and Company,faber.design,"Лондон, UK","Рестораны, иммерсивный дизайн","EN","Folde (plant-based restaurant), Tavola, 19 проектов в монографии","Собственная мастерская, кастомная мебель, уникальный подход 'immersive hospitality'","Только UK-рынок, небольшое портфолио",Форма на сайте
FINCH Design,designbyfinch.com,"Дубай, ОАЭ","Рестораны, кафе, отели","EN, AR","Franchise Design of the Year 2024, Casual F&B Design of the Year 2024","Лидер на рынке Ближнего Востока, свежие награды 2024","Региональный фокус (только Middle East), нет европейских проектов",Форма на сайте
Tarruella Trenchs,tarruellatrenchs.com,"Барселона, Испания","Рестораны, отели","ES, EN","Omm Hotel Barcelona, Eme Hotel Seville, Rocambolesc, рестораны Grupo Tragaluz","Работа с Michelin-ресторанами, опыт с отелями, сильная репутация в Испании","Меньше международного присутствия, сайт устаревший",Форма на сайте
Lazaro Rosa-Violán,lazarorosaviolan.com,"Барселона, Испания","Рестораны, отели, maximalist дизайн","ES, EN","El Nacional Barcelona (5 ресторанов + 4 бара), отели","Узнаваемый 'more-is-more' стиль, крупные проекты, медийность","Стиль подходит не всем, высокий ценовой сегмент",Форма на сайте
B3 Designers,b3designers.co.uk,"Лондон, Глазго, Нант, Мадрид","Рестораны, отели, брендинг","EN","Награды за инновации, работа с luxury-отелями","4 офиса в Европе, семейный бизнес с 2002, брендинг + дизайн","Меньше публичного портфолио на сайте",Форма на сайте
HBA (Hirsch Bedner),hba.com,"Лондон + глобально","Luxury отели, рестораны","EN","Marriott, Hilton, Intercontinental, SOCIAL F+B studio","Глобальный лидер, работа с топ-сетями, отдельная F&B студия","Корпоративный подход, не для малого бизнеса, длинные сроки",Форма на сайте
Belenko Design Studio,belenko.design,"Барселона, Испания","Рестораны, бары, кафе, отели","EN, ES, UK, RU","200+ проектов: Bella, Wine Love, Coco Japanese, Agatha, Bruno, 12 Monkeys","25+ лет опыта, 200+ проектов, 4 языка, работа по всему миру, бесплатная консультация","Меньше наград международных конкурсов, меньше PR в западных медиа","+34 671 825 489, studiobelenko@gmail.com"
